"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"kplo:SHADOWCAM_Parameters:1          ","Class","SHADOWCAM_Parameters","1.0.0.0","kplo","The SHADOWCAM_Parameters class is the container for ShadowCam-specific observation parameters.","img","","","","","","","","","","",""
"kplo:SHADOWCAM_Parameters:2           kplo:rationale_desc:1                ","Attribute","rationale_desc","n/a","kplo"," Any available commentary on the goal of the observation. This is created at planning time, and specific instrument and spacecraft performance may impact if the resulting image meets the original goal or not. ","img","ASCII_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"kplo:SHADOWCAM_Parameters:2           kplo:data_quality_id:1               ","Attribute","data_quality_id","n/a","kplo"," LROC-style data quality ID bitmask with minimal differences between ShadowCam and LROC definitions. See data_quality_desc for details. The individual boolean fields (dqi_*) are likely easier to use for new software. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"kplo:SHADOWCAM_Parameters:2           kplo:data_quality_desc:1             ","Attribute","data_quality_desc","n/a","kplo"," Describes how to interpret the data_quality_id field. ","img","ASCII_Text_Collapsed","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_corruption_detected:1       ","Attribute","dqi_corruption_detected","n/a","kplo"," The corruption detection algorithm found a strong likelihood of image corruption somewhere in the observation. This is often localized to a small area, leaving most of the image usable. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_fpa_out_of_bounds:1         ","Attribute","dqi_fpa_out_of_bounds","n/a","kplo"," The focal plane temperature was outside of the nominal operational limits. The calibration of the image is likely to not be as good in this case. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_under_saturated:1           ","Attribute","dqi_under_saturated","n/a","kplo"," One or more 0 DN values are present in the companded 8-bit DN. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_missing_data:1              ","Attribute","dqi_missing_data","n/a","kplo"," One or more 1 MiB data blocks are missing from the image. Due to interleaving, this typically results in a pattern of 4 pixels present 4 pixels missing. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_missing_spice:1             ","Attribute","dqi_missing_spice","n/a","kplo"," SPICE was unavailable for this observation. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:dqi_uncalibratable:1            ","Attribute","dqi_uncalibratable","n/a","kplo"," This observation could not be calibrated. ","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"kplo:SHADOWCAM_Parameters:2           kplo:execution_spacecraft_time:1     ","Attribute","execution_spacecraft_time","n/a","kplo","The spacecraft time of when the image command was executed. Use this time with the SCLK kernel and add the start_time_offset value for the most accurate image start. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"kplo:SHADOWCAM_Parameters:2           kplo:execution_time:1                ","Attribute","execution_time","n/a","kplo","The UTC time and date at the execution of the image acquisition command. Add the start time offset to this time to get the start of the image data. Use the spacecraft clock version of the time with an SCLK kernel for the most accurate timing. ","img","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"kplo:SHADOWCAM_Parameters:2           kplo:start_time_offset:1             ","Attribute","start_time_offset","n/a","kplo"," The time in seconds after the execution time that the first image row started. Use this with execution_spacecraft_time and the KPLO SCLK kernel to get the best available start of the image data. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:preroll_time:1                  ","Attribute","preroll_time","n/a","kplo","The UTC time and date at the start of the image acquisition, corresponding to the acquisition of preroll_lines at the given exposure prior to the actual image acquisition. ","img","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"kplo:SHADOWCAM_Parameters:2           kplo:temperature_fpa_a:1             ","Attribute","temperature_fpa_a","n/a","kplo"," The temperature of the ‘A’ sensor adjacent to the focal plane. This sensor is located on the heat strap going to the radiator and is the primary temperature used for calibration. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:temperature_fpa_b:1             ","Attribute","temperature_fpa_b","n/a","kplo"," The temperature of the ‘B’ sensor adjacent to the focal plane. This sensor is on the opposite side of the TDI sensor from ‘A’, but is not on the copper strap. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:temperature_fpga:1              ","Attribute","temperature_fpga","n/a","kplo"," The temperature reported on the electronics board adjacent to the FPGA. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:temperature_telescope:1         ","Attribute","temperature_telescope","n/a","kplo"," The temperature reported from the metering structure of the telescope. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:line_rate_ms:1                  ","Attribute","line_rate_ms","n/a","kplo"," The TDI line rate in milliseconds, the effective exposure time is multiplied by 32 for the number of TDI stages. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:line_rate_code:1                ","Attribute","line_rate_code","n/a","kplo"," The TDI line rate code commanded. The line time in seconds can be computed from the commanded line rate using the expression 50e-9*(12*524+(lr*(38+1)+46)), where lr is thecommanded line rate (0-4095). ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:klines:1                        ","Attribute","klines","n/a","kplo"," The number of 1024-line image chunks commanded (includes preroll). ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:preroll_lines:1                 ","Attribute","preroll_lines","n/a","kplo"," The number of image lines dropped to initialize the TDI sensor. Typically, this is a minimum of 256. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:bterm1:1                        ","Attribute","bterm1","n/a","kplo","ShadowCam companding bterm 1 (See appendix in the ShadowCam archive SIS for detailed companding information)","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:bterm2:1                        ","Attribute","bterm2","n/a","kplo","ShadowCam companding bterm 2 (See appendix in the ShadowCam archive SIS for detailed companding information)","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:bterm3:1                        ","Attribute","bterm3","n/a","kplo","ShadowCam companding bterm 3 (See appendix in the ShadowCam archive SIS for detailed companding information)","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:bterm4:1                        ","Attribute","bterm4","n/a","kplo","ShadowCam companding bterm 4 (See appendix in the ShadowCam archive SIS for detailed companding information)","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:bterm5:1                        ","Attribute","bterm5","n/a","kplo","ShadowCam companding bterm 5 (See appendix in the ShadowCam archive SIS for detailed companding information)","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"kplo:SHADOWCAM_Parameters:2           kplo:xterm0:1                        ","Attribute","xterm0","n/a","kplo"," ShadowCam companding xterm 0 (See appendix in the ShadowCam archive SIS for detailed companding information) ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:xterm1:1                        ","Attribute","xterm1","n/a","kplo"," ShadowCam companding xterm 1 (See appendix in the ShadowCam archive SIS for detailed companding information) ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"kplo:SHADOWCAM_Parameters:2           kplo:xterm2:1                        ","Attribute","xterm2","n/a","kplo"," ShadowCam companding xterm 2 (See appendix in the ShadowCam archive SIS for detailed companding information) ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
